"","lon","lat","coord","cover","Region","Realm"
"17247",146.5,-42.5,"146.5_-42.5",1,"Australian","Australian"
"17248",147.5,-42.5,"147.5_-42.5",0.89,"Australian","Australian"
"17249",148.5,-42.5,"148.5_-42.5",0.06,"Australian","Australian"
"17271",170.5,-42.5,"170.5_-42.5",0.03,"Novozelandic","Australian"
"17272",171.5,-42.5,"171.5_-42.5",0.8,"Novozelandic","Australian"
"17273",172.5,-42.5,"172.5_-42.5",1,"Novozelandic","Australian"
"17274",173.5,-42.5,"173.5_-42.5",0.67,"Novozelandic","Australian"
"17387",-73.5,-41.5,"-73.5_-41.5",0.77,"South American","Neotropical"
"17388",-72.5,-41.5,"-72.5_-41.5",0.87,"South American","Neotropical"
"17389",-71.5,-41.5,"-71.5_-41.5",1,"South American","Neotropical"
"17390",-70.5,-41.5,"-70.5_-41.5",1,"South American","Neotropical"
"17391",-69.5,-41.5,"-69.5_-41.5",1,"South American","Neotropical"
"17392",-68.5,-41.5,"-68.5_-41.5",1,"South American","Neotropical"
"17393",-67.5,-41.5,"-67.5_-41.5",1,"South American","Neotropical"
"17394",-66.5,-41.5,"-66.5_-41.5",1,"South American","Neotropical"
"17395",-65.5,-41.5,"-65.5_-41.5",0.92,"South American","Neotropical"
"17396",-64.5,-41.5,"-64.5_-41.5",0.01,"South American","Neotropical"
"17397",-63.5,-41.5,"-63.5_-41.5",0.19,"South American","Neotropical"
"17398",-62.5,-41.5,"-62.5_-41.5",0.03,"South American","Neotropical"
"17605",144.5,-41.5,"144.5_-41.5",0.15,"Australian","Australian"
"17606",145.5,-41.5,"145.5_-41.5",0.97,"Australian","Australian"
"17607",146.5,-41.5,"146.5_-41.5",0.94,"Australian","Australian"
"17608",147.5,-41.5,"147.5_-41.5",1,"Australian","Australian"
"17609",148.5,-41.5,"148.5_-41.5",0.27,"Australian","Australian"
"17632",171.5,-41.5,"171.5_-41.5",0.13,"Novozelandic","Australian"
"17633",172.5,-41.5,"172.5_-41.5",0.95,"Novozelandic","Australian"
"17634",173.5,-41.5,"173.5_-41.5",0.84,"Novozelandic","Australian"
"17635",174.5,-41.5,"174.5_-41.5",0.31,"Novozelandic","Australian"
"17636",175.5,-41.5,"175.5_-41.5",0.43,"Novozelandic","Australian"
"17637",176.5,-41.5,"176.5_-41.5",0.01,"Novozelandic","Australian"
"17747",-73.5,-40.5,"-73.5_-40.5",0.81,"South American","Neotropical"
"17748",-72.5,-40.5,"-72.5_-40.5",1,"South American","Neotropical"
"17749",-71.5,-40.5,"-71.5_-40.5",1,"South American","Neotropical"
"17750",-70.5,-40.5,"-70.5_-40.5",1,"South American","Neotropical"
"17751",-69.5,-40.5,"-69.5_-40.5",1,"South American","Neotropical"
"17752",-68.5,-40.5,"-68.5_-40.5",1,"South American","Neotropical"
"17753",-67.5,-40.5,"-67.5_-40.5",1,"South American","Neotropical"
"17754",-66.5,-40.5,"-66.5_-40.5",1,"South American","Neotropical"
"17755",-65.5,-40.5,"-65.5_-40.5",0.97,"South American","Neotropical"
"17756",-64.5,-40.5,"-64.5_-40.5",0.89,"South American","Neotropical"
"17757",-63.5,-40.5,"-63.5_-40.5",1,"South American","Neotropical"
"17758",-62.5,-40.5,"-62.5_-40.5",0.62,"South American","Neotropical"
"17811",-9.5,-40.5,"-9.5_-40.5",0.01,"South American","Neotropical"
"17964",143.5,-40.5,"143.5_-40.5",0.02,"Australian","Australian"
"17965",144.5,-40.5,"144.5_-40.5",0.15,"Australian","Australian"
"17966",145.5,-40.5,"145.5_-40.5",0.13,"Australian","Australian"
"17967",146.5,-40.5,"146.5_-40.5",0.01,"Australian","Australian"
"17968",147.5,-40.5,"147.5_-40.5",0.14,"Australian","Australian"
"17969",148.5,-40.5,"148.5_-40.5",0.21,"Australian","Australian"
"17993",172.5,-40.5,"172.5_-40.5",0.23,"Novozelandic","Australian"
"17994",173.5,-40.5,"173.5_-40.5",0.04,"Novozelandic","Australian"
"17995",174.5,-40.5,"174.5_-40.5",0.01,"Novozelandic","Australian"
"17996",175.5,-40.5,"175.5_-40.5",0.87,"Novozelandic","Australian"
"17997",176.5,-40.5,"176.5_-40.5",0.49,"Novozelandic","Australian"
"18107",-73.5,-39.5,"-73.5_-39.5",0.32,"South American","Neotropical"
